player_id,player_name,season,player_team,position,ind_hits,ind_takeaways,ind_giveaways,ind_d_zone_giveaways,ind_penalty_minutes,penalties,penalty_minutes_drawn,penalties_drawn,shots_blocked_by_player,ind_blocked_shot_attempts,ind_faceoffs_won,faceoffs_won,faceoffs_lost,ind_d_zone_shift_starts,ind_o_zone_shift_starts,ind_neutral_zone_shift_starts,ice_time,games_played,pk_ice_time,fv5_ice_time,on_ice_expected_goals_pct,on_ice_corsi_pct,on_ice_fenwick_pct,on_ice_against_expected_goals,on_ice_against_high_danger_shots,on_ice_against_shots_on_goal,on_ice_against_goals,on_ice_for_expected_goals,pk_ice_pct,pk_toi_per_game,ind_hits_pg,ind_takeaways_pg,ind_giveaways_pg,ind_d_zone_giveaways_pg,shots_blocked_by_player_pg,ind_blocked_shot_attempts_pg,penalties_pg,ind_penalty_minutes_pg,penalties_drawn_pg,ind_hits_per60,ind_takeaways_per60,ind_giveaways_per60,shots_blocked_by_player_per60,penalties_per60,ind_penalty_minutes_per60,faceoff_win_pct,d_zone_start_pct,take_give_ratio,on_ice_expected_goals_pct_avg,on_ice_corsi_pct_avg,on_ice_fenwick_pct_avg,xg_against_per60_5v5,hd_shots_against_per60_5v5,goals_against_per60_5v5
8445550,Rob Blake,2008,SJS,D,66.0,23.0,37.0,22.0,88.0,41.0,23.0,10.0,114.0,117.0,0.0,0.0,0.0,266.0,247.0,357.0,93140.0,73,9698.0,66498.0,40.6773,38.6211,39.5839,36.173,23.0,486.0,33.0,48.944,0.10412282585355379,2.2141552511415523,0.9041095890410958,0.3150684931506849,0.5068493150684932,0.3013698630136986,1.5616438356164384,1.6027397260273972,0.5616438356164384,1.2054794520547945,0.136986301369863,2.5509984968864075,0.888984324672536,1.4301052179514708,4.406270130985613,1.584711187459738,3.4013313291818768,,0.5185185185185185,0.6216216216216216,0.6708591974194713,0.6369478836957502,0.6528265982435562,1.9582964901200035,1.2451502300821076,1.786519895335198
8445550,Rob Blake,2009,SJS,D,68.0,19.0,51.0,33.0,58.0,28.0,20.0,10.0,113.0,98.0,0.0,0.0,0.0,318.0,198.0,332.0,88447.0,69,11067.0,63726.0,34.8897,34.2533,34.2269,42.209,25.0,557.0,30.0,46.479,0.12512578154148812,2.6731884057971014,0.9855072463768116,0.2753623188405797,0.7391304347826086,0.4782608695652174,1.6376811594202898,1.4202898550724639,0.4057971014492754,0.8405797101449275,0.14492753623188406,2.767759223037525,0.7733444887898968,2.075819417278144,4.5993645912241234,1.1396655624272163,2.3607358078849483,,0.6162790697674418,0.37254901960784315,0.6004383452593917,0.5894861455292973,0.5890318116624298,2.384464739666698,1.4122963939365407,1.6947556727238489
8445739,Patrice Brisebois,2008,MTL,D,45.0,14.0,54.0,47.0,19.0,8.0,21.0,4.0,69.0,72.0,0.0,0.0,0.0,114.0,194.0,189.0,59144.0,62,467.0,46101.0,30.8507,30.3686,29.7141,31.083,27.0,389.0,31.0,30.195999999999998,0.007895982686324902,0.12553763440860216,0.7258064516129032,0.22580645161290322,0.8709677419354839,0.7580645161290323,1.1129032258064515,1.1612903225806452,0.12903225806451613,0.3064516129032258,0.06451612903225806,2.739077505748681,0.8521574462329231,3.2868930068984175,4.199918842147978,0.4869471121330989,1.15649939131611,,0.37012987012987014,0.25925925925925924,0.7339095180147935,0.7224408064900978,0.7068708589835361,2.4272532049196327,2.10841413418364,2.4207717836923277
8446053,Chris Chelios,2008,DET,D,22.0,7.0,13.0,8.0,18.0,8.0,14.0,7.0,12.0,14.0,0.0,0.0,0.0,38.0,57.0,66.0,19608.0,28,2588.0,16889.0,13.8095,16.5491,14.984399999999999,9.695,8.0,116.0,8.0,9.672,0.13198694410444717,1.5404761904761906,0.7857142857142857,0.25,0.4642857142857143,0.2857142857142857,0.42857142857142855,0.5,0.2857142857142857,0.6428571428571429,0.25,4.039167686658507,1.2851897184822523,2.386780905752754,2.203182374541004,1.4687882496940026,3.3047735618115057,,0.4,0.5384615384615384,0.8967303363135768,1.0746283361951565,0.9730233572147551,2.0665521937355678,1.7052519391319796,1.7052519391319796
8449924,Teppo Numminen,2008,BUF,D,12.0,14.0,23.0,14.0,22.0,11.0,14.0,7.0,45.0,38.0,0.0,0.0,0.0,162.0,143.0,196.0,59814.0,57,3750.0,46576.0,27.277,27.8624,28.0132,27.87,21.0,386.0,32.0,26.556,0.06269435249272745,1.0964912280701755,0.21052631578947367,0.24561403508771928,0.40350877192982454,0.24561403508771928,0.7894736842105263,0.6666666666666666,0.19298245614035087,0.38596491228070173,0.12280701754385964,0.7222389407162203,0.8426120975022571,1.3842913030394224,2.708396027685826,0.662052362323202,1.324104724646404,,0.5311475409836065,0.6086956521739131,0.6422768357093783,0.6560609343868088,0.659611740810718,2.154156647200275,1.623153555479217,2.473376846444521
8451224,Mathieu Schneider,2008,WPG,D,57.0,32.0,18.0,12.0,50.0,25.0,4.0,2.0,76.0,52.0,0.0,0.0,0.0,132.0,126.0,132.0,55506.0,44,2484.0,43319.0,20.5211,22.2292,22.0894,30.535,19.0,365.0,37.0,26.737000000000002,0.04475191871149065,0.9409090909090909,1.2954545454545454,0.7272727272727273,0.4090909090909091,0.2727272727272727,1.7272727272727273,1.1818181818181819,0.5681818181818182,1.1363636363636365,0.045454545454545456,3.696897632688358,2.075451302561885,1.1674413576910605,4.929196843584477,1.6214463301264728,3.2428926602529455,,0.5116279069767442,1.7777777777777777,0.5195293143886054,0.5627730012234815,0.559233707610979,2.537593203905907,1.578983817724324,3.0748632239894733
8451224,Mathieu Schneider,2008,MTL,D,14.0,17.0,23.0,21.0,14.0,7.0,4.0,2.0,42.0,31.0,0.0,0.0,0.0,65.0,110.0,103.0,28903.0,23,1303.0,19678.0,10.4885,10.5777,10.488900000000001,14.131,11.0,189.0,10.0,11.828,0.04508182541604678,0.9442028985507246,0.6086956521739131,0.7391304347826086,1.0,0.9130434782608695,1.826086956521739,1.3478260869565217,0.30434782608695654,0.6086956521739131,0.08695652173913043,1.7437636231533058,2.117427256686157,2.8647545237518597,5.231290869459918,0.8718818115766529,1.7437636231533058,,0.37142857142857144,0.7391304347826086,0.5845481222685233,0.5895194425246468,0.5845704151844701,2.5852017481451366,2.0123996341091575,1.8294542128265068
8456283,Adam Foote,2008,COL,D,54.0,17.0,28.0,20.0,30.0,15.0,7.0,2.0,77.0,14.0,0.0,0.0,0.0,194.0,77.0,212.0,49539.0,42,8507.0,38283.0,19.2521,17.9415,18.3643,25.597,21.0,332.0,31.0,22.352,0.171723288722017,3.375793650793651,1.2857142857142858,0.40476190476190477,0.6666666666666666,0.47619047619047616,1.8333333333333333,0.3333333333333333,0.35714285714285715,0.7142857142857143,0.047619047619047616,3.924180948343729,1.2353902985526555,2.0347604917337856,5.59559135226791,1.0900502634288136,2.1801005268576272,,0.7158671586715867,0.6071428571428571,0.5515183781312853,0.5139733837473552,0.5260854115403704,2.4070527388135727,1.974766867800329,2.915132042943343
8456283,Adam Foote,2009,COL,D,111.0,11.0,22.0,15.0,64.0,28.0,35.0,15.0,102.0,33.0,0.0,0.0,0.0,281.0,158.0,292.0,77828.0,67,10265.0,64675.0,30.0144,29.608,29.1037,44.119,35.0,604.0,45.0,36.568,0.1318934059721437,2.5534825870646767,1.6567164179104477,0.16417910447761194,0.3283582089552239,0.22388059701492538,1.5223880597014925,0.4925373134328358,0.417910447761194,0.9552238805970149,0.22388059701492538,5.1343989309759985,0.5088143084750989,1.0176286169501978,4.718096314950917,1.2951636943002518,2.9603741584005756,,0.6400911161731208,0.5,0.5089569768844221,0.502065614224971,0.49351415214534206,2.4557928102048705,1.9482025512176264,2.5048318515655197
8456283,Adam Foote,2010,COL,D,55.0,4.0,15.0,13.0,33.0,15.0,21.0,9.0,67.0,12.0,0.0,0.0,0.0,228.0,83.0,198.0,50549.0,47,7735.0,41245.0,23.46,20.4055,20.7321,27.384,18.0,392.0,36.0,27.665,0.15301984213337555,2.7429078014184394,1.1702127659574468,0.0851063829787234,0.3191489361702128,0.2765957446808511,1.425531914893617,0.2553191489361702,0.3191489361702128,0.7021276595744681,0.19148936170212766,3.916991434054086,0.2848721042948426,1.06827039110566,4.771607746938614,1.06827039110566,2.3501948604324516,,0.7331189710610932,0.26666666666666666,0.6237988119772093,0.5425799939386592,0.5512642519093223,2.390166080737059,1.57109952721542,3.14219905443084
