player_id,player_name,season,birthDate,age,age_sq
8445550,Rob Blake,2008,1969-12-10,37.8,1428.8399999999997
8445550,Rob Blake,2009,1969-12-10,38.8,1505.4399999999998
8445550,Rob Blake,2010,1969-12-10,39.8,1584.0399999999997
8445735,Rod Brind'Amour,2008,1970-08-09,37.1,1376.41
8445735,Rod Brind'Amour,2009,1970-08-09,38.1,1451.6100000000001
8445735,Rod Brind'Amour,2010,1970-08-09,39.1,1528.8100000000002
8445739,Patrice Brisebois,2008,1971-01-27,36.7,1346.89
8445739,Patrice Brisebois,2009,1971-01-27,37.7,1421.2900000000002
8446053,Chris Chelios,2008,1962-01-25,45.7,2088.4900000000002
8446053,Chris Chelios,2009,1962-01-25,46.7,2180.8900000000003
8446053,Chris Chelios,2010,1962-01-25,47.7,2275.2900000000004
8446485,Kris Draper,2008,1971-05-24,36.4,1324.9599999999998
8446485,Kris Draper,2009,1971-05-24,37.4,1398.76
8446485,Kris Draper,2010,1971-05-24,38.4,1474.56
8446485,Kris Draper,2011,1971-05-24,39.4,1552.36
8446788,Sergei Fedorov,2008,1969-12-13,37.8,1428.8399999999997
8446788,Sergei Fedorov,2009,1969-12-13,38.8,1505.4399999999998
8447091,Martin Gelinas,2008,1970-06-05,37.3,1391.2899999999997
8447958,Bobby Holik,2008,1971-01-01,36.7,1346.89
8447958,Bobby Holik,2009,1971-01-01,37.7,1421.2900000000002
8448208,Jaromir Jagr,2008,1972-02-15,35.6,1267.3600000000001
8448208,Jaromir Jagr,2012,1972-02-15,39.6,1568.16
8448208,Jaromir Jagr,2013,1972-02-15,40.6,1648.3600000000001
8448208,Jaromir Jagr,2014,1972-02-15,41.6,1730.5600000000002
8448208,Jaromir Jagr,2015,1972-02-15,42.6,1814.7600000000002
8448208,Jaromir Jagr,2016,1972-02-15,43.6,1900.96
8448208,Jaromir Jagr,2017,1972-02-15,44.6,1989.16
8448208,Jaromir Jagr,2018,1972-02-15,45.6,2079.36
8448772,Claude Lemieux,2009,1965-07-16,43.2,1866.2400000000002
8448825,Trevor Linden,2008,1970-04-11,37.5,1406.25
8449645,Mike Modano,2008,1970-06-07,37.3,1391.2899999999997
8449645,Mike Modano,2009,1970-06-07,38.3,1466.8899999999999
8449645,Mike Modano,2010,1970-06-07,39.3,1544.4899999999998
8449645,Mike Modano,2011,1970-06-07,40.3,1624.0899999999997
8449895,Owen Nolan,2008,1972-02-12,35.6,1267.3600000000001
8449895,Owen Nolan,2009,1972-02-12,36.6,1339.5600000000002
8449895,Owen Nolan,2010,1972-02-12,37.6,1413.7600000000002
8449924,Teppo Numminen,2008,1968-07-03,39.2,1536.6400000000003
8449924,Teppo Numminen,2009,1968-07-03,40.2,1616.0400000000002
8450725,Mark Recchi,2008,1968-02-01,39.7,1576.0900000000001
8450725,Mark Recchi,2009,1968-02-01,40.7,1656.4900000000002
8450725,Mark Recchi,2010,1968-02-01,41.7,1738.8900000000003
8450725,Mark Recchi,2011,1968-02-01,42.7,1823.2900000000002
8450824,Luke Richardson,2008,1969-03-26,38.5,1482.25
8450824,Luke Richardson,2009,1969-03-26,39.5,1560.25
8450900,Gary Roberts,2008,1966-05-23,41.4,1713.9599999999998
8450900,Gary Roberts,2009,1966-05-23,42.4,1797.76
8450978,Jeremy Roenick,2008,1970-01-17,37.7,1421.2900000000002
8450978,Jeremy Roenick,2009,1970-01-17,38.7,1497.6900000000003
8451101,Joe Sakic,2008,1969-07-07,38.2,1459.2400000000002
8451101,Joe Sakic,2009,1969-07-07,39.2,1536.6400000000003
8451224,Mathieu Schneider,2008,1969-06-12,38.3,1466.8899999999999
8451224,Mathieu Schneider,2009,1969-06-12,39.3,1544.4899999999998
8451224,Mathieu Schneider,2010,1969-06-12,40.3,1624.0899999999997
8451302,Brendan Shanahan,2008,1969-01-23,38.7,1497.6900000000003
8451302,Brendan Shanahan,2009,1969-01-23,39.7,1576.0900000000001
8451359,Mike Sillinger,2008,1971-06-29,36.3,1317.6899999999998
8451359,Mike Sillinger,2009,1971-06-29,37.3,1391.2899999999997
8451774,Mats Sundin,2008,1971-02-13,36.6,1339.5600000000002
8451774,Mats Sundin,2009,1971-02-13,37.6,1413.7600000000002
8451972,Scott Thornton,2008,1971-01-09,36.7,1346.89
8452285,Wes Walz,2008,1970-05-15,37.4,1398.76
